eastings,northings,height
176491.1604,397629.9844,22.168
176492.0459,397628.9154,22.518
176487.2653,397625.1293,22.278
176486.8281,397619.4173,23.23
176480.4463,397615.9547,24.423
176475.1664,397614.2024,23.73
176470.7625,397612.8747,23.644
176464.8222,397610.8921,24.303
176463.4614,397610.3396,24.114
176460.5214,397609.2723,24.095
176456.3886,397607.3542,22.901
176451.4525,397605.0372,23.532
176448.4389,397609.2268,23.082
176446.7151,397608.1428,22.932
176439.9478,397603.0754,22.35
176443.6708,397595.88,22.514
176451.8927,397598.1263,23.477
176451.194,397601.415,23.988
176456.9286,397604.1504,23.057
176460.1273,397597.4012,23.668
176455.3228,397596.7141,24.057
176448.1129,397588.2541,22.905
176452.9238,397591.6317,23.403
176456.3004,397593.7628,24.104
176460.794,397596.195,23.641
176462.3126,397596.9704,23.576
176469.5928,397601.8006,24.547
176467.9076,397604.1782,24.584
176477.7528,397607.7462,24.249
176480.4674,397604.1208,24.296
176482.9485,397599.1935,24.311
176486.5315,397600.7177,24.509
176488.0942,397601.5069,24.515
176489.4681,397602.0013,24.228
176490.4874,397607.5427,24.806
176497.2548,397609.0316,24.239
176499.4725,397603.1858,24.355
176501.1413,397599.3106,24.214
176502.7628,397598.0594,24.998
176506.3312,397593.8853,24.615
176504.5861,397592.4427,25.149
176501.1933,397590.9463,24.725
176497.6744,397594.2407,24.543
176490.8027,397593.509,24.757
176492.0342,397589.6855,24.519
176495.6469,397588.5952,24.996
176496.1085,397586.4662,25.2
176497.255,397581.5055,24.939
176493.2062,397579.7424,24.516
176494.092,397575.1309,24.424
176500.3853,397579.4218,25.401
176501.3808,397579.858,25.445
176506.1491,397585.6931,25.43
176505.2236,397587.9514,24.884
176504.1031,397591.4412,25.288
176508.8068,397595.4711,24.472
176512.4534,397590.3981,24.378
176517.5262,397586.7458,25.026
176517.6179,397590.0532,24.572
176516.0666,397595.1483,24.907
176472.4935,397598.1436,24.786
176475.2833,397595.7673,24.675
176477.2087,397593.5921,24.935
176479.3763,397590.4222,24.722
176481.5893,397587.0835,25.048
176483.0521,397584.6622,24.923
176484.2529,397584.7344,24.46
176485.9069,397585.0311,24.933
176488.5982,397578.9863,24.174
176484.723,397577.1344,24.048
176487.3792,397572.1937,25.052
176488.593,397568.4738,25.005
176483.4155,397566.152,24.249
176481.5003,397571.392,24.057
176476.8999,397579.8157,23.894
176470.1345,397589.5144,23.589
176466.1048,397593.5081,23.6
176461.6352,397594.4201,23.758
176462.7182,397590.6475,24.276
176464.5969,397587.2995,23.984
176469.7536,397577.1777,23.277
176473.6429,397570.5364,23.433
176476.2283,397565.4798,23.6
176466.655,397564.5654,22.972
176463.3723,397568.3592,22.691
176456.292,397580.6582,23.345
176458.5003,397583.8792,23.403
176457.9971,397588.2715,24.096
176450.8891,397585.8231,23.093
176448.7424,397579.2333,22.591
176487.2663,397572.1541,25.037
